County,date,deaths,cases,Region,Color
Broome,2020-03-24T00:00:00Z,1,9,Southern Tier,#ffd900
Cayuga,2020-03-24T00:00:00Z,0,2,Central New York,#d7e1be
Chautauqua,2020-03-24T00:00:00Z,0,2,Western New York,#979797
Chemung,2020-03-24T00:00:00Z,0,3,Finger Lakes,#b4ffaa
Chenango,2020-03-24T00:00:00Z,0,3,Southern Tier,#ffd900
Clinton,2020-03-24T00:00:00Z,0,6,North Country,#dcc8dc
Columbia,2020-03-24T00:00:00Z,0,18,Capital,#00ffff
Cortland,2020-03-24T00:00:00Z,0,2,Central New York,#d7e1be
Delaware,2020-03-24T00:00:00Z,0,3,Southern Tier,#ffd900
Dutchess,2020-03-24T00:00:00Z,1,124,Mid-Hudson,#91bdf0
Erie,2020-03-24T00:00:00Z,1,114,Western New York,#979797
Essex,2020-03-24T00:00:00Z,0,3,North Country,#dcc8dc
Greene,2020-03-24T00:00:00Z,0,4,Capital,#00ffff
Hamilton,2020-03-24T00:00:00Z,0,2,North Country,#dcc8dc
Herkimer,2020-03-24T00:00:00Z,0,4,Mohawk Valley,#ffff00
Jefferson,2020-03-24T00:00:00Z,0,2,Tug Hill Seaway,#e978ef
Livingston,2020-03-24T00:00:00Z,0,3,Finger Lakes,#b4ffaa
Madison,2020-03-24T00:00:00Z,1,4,Central New York,#d7e1be
Monroe,2020-03-24T00:00:00Z,3,106,Finger Lakes,#b4ffaa
Montgomery,2020-03-24T00:00:00Z,0,3,Mohawk Valley,#ffff00
Nassau,2020-03-24T00:00:00Z,7,2869,Long Island,#ff64a5
New York,2020-03-24T00:00:00Z,35,14904,New York City,#c8ff00
Niagara,2020-03-24T00:00:00Z,0,10,Western New York,#979797
Oneida,2020-03-24T00:00:00Z,0,10,Central New York,#d7e1be
Onondaga,2020-03-24T00:00:00Z,0,60,Central New York,#d7e1be
Ontario,2020-03-24T00:00:00Z,0,6,Finger Lakes,#b4ffaa
Orange,2020-03-24T00:00:00Z,0,498,Mid-Hudson,#91bdf0
Oswego,2020-03-24T00:00:00Z,0,2,Central New York,#d7e1be
Putnam,2020-03-24T00:00:00Z,0,82,Mid-Hudson,#91bdf0
Rensselaer,2020-03-24T00:00:00Z,0,33,Capital,#00ffff
Rockland,2020-03-24T00:00:00Z,5,671,Mid-Hudson,#91bdf0
Saratoga,2020-03-24T00:00:00Z,0,53,Capital,#00ffff
Schenectady,2020-03-24T00:00:00Z,0,44,Capital,#00ffff
Steuben,2020-03-24T00:00:00Z,0,8,Finger Lakes,#b4ffaa
Suffolk,2020-03-24T00:00:00Z,17,1880,Long Island,#ff64a5
Sullivan,2020-03-24T00:00:00Z,0,23,Mid-Hudson,#91bdf0
Tompkins,2020-03-24T00:00:00Z,0,16,Southern Tier,#ffd900
Ulster,2020-03-24T00:00:00Z,0,35,Mid-Hudson,#91bdf0
Warren,2020-03-24T00:00:00Z,0,2,North Country,#dcc8dc
Washington,2020-03-24T00:00:00Z,0,3,North Country,#dcc8dc
Wayne,2020-03-24T00:00:00Z,0,6,Finger Lakes,#b4ffaa
Westchester,2020-03-24T00:00:00Z,1,3891,Mid-Hudson,#91bdf0
Wyoming,2020-03-24T00:00:00Z,0,4,Western New York,#979797
New York State,2020-03-25T00:00:00Z,408,30841,New York State,#7a7a7a
Albany,2020-03-25T00:00:00Z,0,152,Capital,#00ffff
Allegany,2020-03-25T00:00:00Z,0,2,Western New York,#979797
Broome,2020-03-25T00:00:00Z,1,11,Southern Tier,#ffd900
Cayuga,2020-03-25T00:00:00Z,0,2,Central New York,#d7e1be
Chautauqua,2020-03-25T00:00:00Z,0,2,Western New York,#979797
Chemung,2020-03-25T00:00:00Z,0,3,Finger Lakes,#b4ffaa
Chenango,2020-03-25T00:00:00Z,0,3,Southern Tier,#ffd900
Clinton,2020-03-25T00:00:00Z,0,10,North Country,#dcc8dc
Columbia,2020-03-25T00:00:00Z,0,19,Capital,#00ffff
